Code	Classification
77701250	CUSTOMER
77701251	POTENTIAL
77701252	FROZEN
77701253	ENGAGE
77701254	CUSTOMER
77701255	CUSTOMER
77701256	FROZEN
77701257	INTERNAL
77701258	CUSTOMER
77701259	PETROLINA
77701260	INTERNAL
77701261	POTENTIAL
77701262	CUSTOMER
77701263	CUSTOMER
77701264	CUSTOMER
77701265	CUSTOMER
77701266	CUSTOMER
77701267	INTERNAL
77701268	CUSTOMER
77701269	CUSTOMER
77701270	CUSTOMER
77701271	CUSTOMER
77701272	PETROLINA
77701273	INTERNAL
77701274	CUSTOMER
77701275	POTENTIAL
77701276	CUSTOMER
77701277	CUSTOMER
77701278	CUSTOMER
77701279	CLOSED
77701280	FROZEN
77701281	EKO
77701282	CUSTOMER
77701283	CUSTOMER
77701284	INTERNAL
77701285	ENGAGE
77701286	CUSTOMER
77701287	CUSTOMER
77701288	EKO
77701289	CUSTOMER
77701290	PETROLINA
77701291	CUSTOMER
77701292	FROZEN
77701293	POTENTIAL
77701294	CLOSED
77701295	CLOSED
77701296	PETROLINA
77701297	CUSTOMER
77701298	CUSTOMER
77701299	CUSTOMER
77701300	EKO
77701301	ENGAGE
77701302	CUSTOMER
77701303	EKO
77701304	CUSTOMER
77701305	CUSTOMER
77701306	CUSTOMER
77701307	CUSTOMER
77701308	CLOSED
77701309	FROZEN
77701310	FROZEN
77701311	CUSTOMER
77701312	CUSTOMER
77701313	CUSTOMER
77701314	CUSTOMER
